symbol,latency_ns
AAPL,787
AAPL,531
AAPL,803
AAPL,805
AAPL,551
AAPL,712
AAPL,795
AAPL,817
AAPL,1081
AAPL,419
AAPL,602
AAPL,384
AAPL,939
AAPL,524
AAPL,2688
AAPL,2564
AAPL,1496
AAPL,937
AAPL,715
AAPL,396
AAPL,1923
AAPL,825
AAPL,1282
AAPL,3268
AAPL,539
AAPL,410
AAPL,1145
AAPL,694
AAPL,601
AAPL,852
AAPL,1670
AAPL,1084
AAPL,450
AAPL,632
AAPL,523
AAPL,95
AAPL,744
AAPL,355
AAPL,1201
AAPL,2191
AAPL,817
AAPL,42
AAPL,1324
AAPL,253
AAPL,1909
AAPL,1299
AAPL,745
AAPL,425
AAPL,1470
AAPL,366
AAPL,354
AAPL,1453
AAPL,796
AAPL,1091
AAPL,765
AAPL,1243
AAPL,540
AAPL,1075
AAPL,966
AAPL,4458
AAPL,1449
AAPL,1575
AAPL,769
AAPL,536
AAPL,831
AAPL,603
AAPL,479
AAPL,833
AAPL,1241
AAPL,477
AAPL,1303
AAPL,576
AAPL,312
AAPL,1081
AAPL,1125
AAPL,1104
AAPL,933
AAPL,119
AAPL,173
AAPL,958
AAPL,1015
AAPL,1476
AAPL,915
AAPL,189
AAPL,538
AAPL,1733
AAPL,1028
AAPL,717
AAPL,3274
AAPL,553
AAPL,1090
AAPL,447
AAPL,64
AAPL,742
AAPL,1920
AAPL,779
AAPL,772
AAPL,1230
AAPL,349
AAPL,1056
AAPL,781
AAPL,1037
AAPL,442
AAPL,1766
AAPL,480
AAPL,1421
AAPL,1095
AAPL,328
AAPL,355
AAPL,413
AAPL,344
AAPL,1409
AAPL,1279
AAPL,516
AAPL,584
AAPL,1192
AAPL,1004
AAPL,850
AAPL,887
AAPL,780
AAPL,547
AAPL,2222
AAPL,730
AAPL,123
AAPL,711
AAPL,413
AAPL,509
AAPL,760
AAPL,1484
AAPL,1636
AAPL,491
AAPL,2411
AAPL,1325
AAPL,915
AAPL,2948
AAPL,2003
AAPL,971
AAPL,1555
AAPL,538
AAPL,1546
AAPL,1925
AAPL,612
AAPL,596
AAPL,593
AAPL,265
AAPL,713
AAPL,937
AAPL,375
AAPL,1293
AAPL,898
AAPL,58
AAPL,696
AAPL,552
AAPL,375
AAPL,567
AAPL,767
AAPL,681
AAPL,1140
AAPL,813
AAPL,1536
AAPL,1549
AAPL,1263
AAPL,554
AAPL,313
AAPL,671
AAPL,860
AAPL,827
AAPL,1190
AAPL,1292
AAPL,1338
AAPL,2629
AAPL,2235
AAPL,283
AAPL,602
AAPL,1007
AAPL,1040
AAPL,872
AAPL,931
AAPL,2188
AAPL,1129
AAPL,739
AAPL,607
AAPL,293
AAPL,426
AAPL,2339
AAPL,890
AAPL,763
AAPL,1708
AAPL,855
AAPL,897
AAPL,1564
AAPL,1501
AAPL,2128
AAPL,2710
AAPL,2189
AAPL,1864
AAPL,1435
AAPL,885
AAPL,363
AAPL,444
AAPL,469
AAPL,1042
AAPL,910
AAPL,2096
AAPL,1469
AAPL,1387
AAPL,985
AAPL,464
AAPL,1518
AAPL,508
AAPL,425
AAPL,1015
AAPL,1251
AAPL,3335
AAPL,1511
AAPL,1301
AAPL,2146
AAPL,1183
AAPL,2059
AAPL,1535
AAPL,1723
AAPL,876
AAPL,915
AAPL,2062
AAPL,770
AAPL,641
AAPL,1376
AAPL,1720
AAPL,1050
AAPL,1330
AAPL,1240
AAPL,1342
AAPL,2319
AAPL,1829
AAPL,3381
AAPL,1738
AAPL,1527
AAPL,2671
AAPL,1732
AAPL,2140
AAPL,2289
AAPL,1103
AAPL,2668
AAPL,1506
AAPL,943
AAPL,4137
AAPL,2163
AAPL,1916
AAPL,3472
AAPL,1833
AAPL,2695
AAPL,2609
AAPL,2580
AAPL,1748
AAPL,3485
AAPL,1325
AAPL,638
AAPL,710
AAPL,439
AAPL,1250
AAPL,936
AAPL,1006
AAPL,1037
AAPL,1210
AAPL,837
AAPL,1065
AAPL,1905
AAPL,1162
AAPL,2299
AAPL,2129
AAPL,3020
AAPL,2987
AAPL,525
AAPL,632
AAPL,1166
AAPL,542
AAPL,709
AAPL,2272
AAPL,1067
AAPL,1636
AAPL,198
AAPL,56
AAPL,810
AAPL,768
AAPL,1959
AAPL,388
AAPL,1190
AAPL,651
AAPL,945
AAPL,1209
AAPL,1340
AAPL,1424
AAPL,1636
AAPL,263
AAPL,656
AAPL,692
AAPL,992
AAPL,2497
AAPL,563
AAPL,2609
AAPL,1586
AAPL,320
AAPL,525
AAPL,999
AAPL,1005
AAPL,1234
AAPL,58
AAPL,551
AAPL,1409
AAPL,1189
AAPL,549
AAPL,920
AAPL,786
AAPL,751
AAPL,1643
AAPL,1100
AAPL,1266
AAPL,3175
AAPL,789
AAPL,179
AAPL,1344
AAPL,1175
AAPL,190
AAPL,1693
AAPL,309
AAPL,169
AAPL,324
AAPL,468
AAPL,855
AAPL,2506
AAPL,1513
AAPL,3119
AAPL,2053
AAPL,930
AAPL,906
AAPL,1775
AAPL,1603
AAPL,1799
AAPL,764
AAPL,1388
AAPL,1697
AAPL,763
AAPL,1373
AAPL,1477
AAPL,898
AAPL,2975
AAPL,763
AAPL,553
AAPL,1319
AAPL,346
AAPL,1078
AAPL,470
AAPL,3026
AAPL,1049
AAPL,1477
AAPL,1044
AAPL,3362
AAPL,1942
AAPL,1224
AAPL,440
AAPL,513
AAPL,846
AAPL,1461
AAPL,1731
AAPL,3598
AAPL,958
AAPL,3383
AAPL,2351
AAPL,1957
AAPL,2660
AAPL,2440
AAPL,2002
AAPL,1802
AAPL,2736
AAPL,2262
AAPL,1545
AAPL,785
AAPL,434
AAPL,1994
AAPL,2338
AAPL,2516
AAPL,3142
AAPL,1434
AAPL,814
AAPL,1571
AAPL,1491
AAPL,541
AAPL,588
AAPL,1065
AAPL,2610
AAPL,341
AAPL,452
AAPL,487
AAPL,1635
AAPL,1351
AAPL,1370
AAPL,622
AAPL,1896
AAPL,2094
AAPL,1609
AAPL,266
AAPL,509
AAPL,1346
AAPL,781
AAPL,1079
AAPL,1633
AAPL,1149
AAPL,1283
AAPL,1746
AAPL,1219
AAPL,1849
AAPL,2978
AAPL,3295
AAPL,1726
AAPL,4370
AAPL,138
AAPL,1060
AAPL,2034
AAPL,509
AAPL,2032
AAPL,208
AAPL,594
AAPL,41
AAPL,2129
AAPL,1348
AAPL,3246
AAPL,1335
AAPL,2166
AAPL,2155
AAPL,575
AAPL,1263
AAPL,3789
AAPL,360
AAPL,2041
AAPL,1044
AAPL,684
AAPL,1213
AAPL,1442
AAPL,1350
AAPL,3885
AAPL,2232
AAPL,424
AAPL,1309
AAPL,3939
AAPL,1339
AAPL,2921
AAPL,831
AAPL,1150
AAPL,873
AAPL,2129
AAPL,1047
AAPL,2285
AAPL,771
AAPL,2339
AAPL,1494
AAPL,2227
AAPL,770
AAPL,477
AAPL,1495
AAPL,2311
AAPL,3148
AAPL,806
AAPL,2929
AAPL,1776
AAPL,1146
AAPL,1464
AAPL,1698
AAPL,1184
AAPL,2326
AAPL,2510
AAPL,1264
AAPL,477
AAPL,933
AAPL,1872
AAPL,1634
AAPL,2257
AAPL,1503
AAPL,2817
AAPL,2981
AAPL,3438
AAPL,1982
AAPL,1608
AAPL,786
AAPL,1424
AAPL,2268
AAPL,983
AAPL,2094
AAPL,1455
AAPL,1445
AAPL,3996
AAPL,796
AAPL,127
AAPL,182
AAPL,1250
AAPL,907
AAPL,850
AAPL,970
AAPL,1612
AAPL,1741
AAPL,2331
AAPL,1614
AAPL,1646
AAPL,1655
AAPL,1021
AAPL,1441
AAPL,1453
AAPL,343
AAPL,1632
AAPL,2832
AAPL,3148
AAPL,1019
AAPL,883
AAPL,740
AAPL,1664
AAPL,101
AAPL,927
AAPL,2343
AAPL,967
AAPL,312
AAPL,492
AAPL,188
AAPL,553
AAPL,1605
AAPL,3253
AAPL,2067
AAPL,1702
AAPL,2301
