order_id,pnl
3833,-10554.6
184499,18386
217209,9192.17
293854,-10554.5
144730,21109
41038,-21109
15444,-50372
274718,9191.57
49123,-18383.1
186664,21109
62609,-21109
191305,21109
24889,-21109
151769,21109
225732,-10554.5
151084,21108.9
289736,-9190.5
176848,21108.9
230598,10554.2
36403,-50349
292248,-10554.1
281155,10554
275982,-25181
29097,-50332.3
137494,21108
47536,-21108
143744,21108
275559,10554
80161,-21108
105143,50362
115057,21108.2
56539,-18375.3
253580,-9181.94
222326,25179.7
118929,21108
72585,-50357
5552,-18363.5
37125,-21108
144230,18358.5
290202,-10554
121765,18345
266078,-10554
100800,21108
205494,9171.1
173119,21108
33018,-21108
117051,21108
19982,-21108
92992,-21107.9
173179,18343.5
51416,-18343.5
284785,9169.61
77124,-21106
199803,21105.2
172207,50325
86524,-50325
287374,-10554.5
38338,-18342.6
106830,18346
28921,-18351
80680,-21108
57177,-21107
132446,50347.5
248622,-25173.8
171968,18348
255140,-10553.1
162999,21106.1
78660,-21106.8
284722,9188.05
13348,-18361
164739,21107.5
80283,-25167.8
103035,18377.5
217112,-9188.75
282491,9188.44
154031,21107
42025,-18383
112416,21107
38278,-21107
285570,-10553.5
55826,-21107
193551,21107
251135,-10553.5
76041,-21107
133385,18393
93463,-18393
162713,50285
228615,25123.5
131384,18389
136419,21107.5
234747,-10553.5
179941,18388
275744,10553.2
42003,-21106.7
25014,-50242.5
273068,25112.2
22287,-21106.4
19231,-21106
227959,-9191.88
65482,-18383.5
54516,-50244
17329,-18386
34453,-50224.8
275407,9194.93
144704,18382
153383,21106
39495,-50227
137911,21106
99206,-18388.5
263406,10553.1
204001,-10553
46726,-18380
67479,-21106
201641,10552.9
166228,9198.5
143008,18395
39462,-21105.8
163908,50209.5
213050,-25104.8
104803,21105.6
16984,-18394
46083,-21105.5
126427,18396
70961,-18394
144532,21105.6
93139,-21105.6
88225,-50287
88701,-21105.2
82885,-18395
181636,21105.5
175389,21105
9454,-18395
152040,21105
6588,-21105
149806,21105
196595,21105
248245,-9196.25
25810,-21105
32748,-50350.4
65028,-21105
174191,18392.5
163678,21105
88787,-21105
18409,-18391.8
20574,-21105
184055,18391
128543,21105
245692,9195.59
84630,-18391.1
83451,-21105.5
271966,-10552.5
138556,18391
257225,10552.7
183705,50368
208048,9195.36
9013,-18390.9
211814,-10552.5
257124,9195.27
92312,-18390
13919,-21104.8
107583,50370
18634,-21104.7
277985,-10552.3
215811,9194.35
42598,-21104.3
144312,25210.5
102690,18388.5
51108,-18387.8
283721,10551.1
58839,-10551.1
176575,18387
197122,21102
52680,-50397.1
245414,-25195.5
28542,-18386.8
216110,-10552.2
244697,25182.2
219236,9192.92
92628,-18386
192581,21102.1
229843,10550.5
282392,-10550.5
177067,21104
216971,-10552
58581,-18368.9
255065,9189.57
236109,-9189.57
160562,18379
61822,-21101
144834,21104
236120,-9190
226856,25162.9
274251,10550.7
148320,21101.4
79478,-21101.2
35517,-50316
148176,21101
216842,-9192.5
135903,21102
5545,-21102
273977,-25177.5
215576,10552.3
272619,-10552
68110,-18383
198735,21104.5
194016,18384.9
88725,-18384.9
227080,10552.2
220175,-10552
49883,-21104.4
277701,9192.43
20675,-18384.5
237938,10552.1
262804,-10552.1
159973,21104
269935,-9191.5
159668,50316
273433,25148.6
259867,-10551.5
11071,-18383.5
168121,21103
243327,-10551.5
270778,25175.6
102943,50340
152021,18382
271693,10550.5
265064,-10550.5
114978,21101.1
66513,-21101.1
277530,-9190.25
25175,-21102.3
255472,-10550.5
263036,9190.19
91078,-18377.2
87053,-21102.5
159952,21103
292437,-10551.5
215645,-9187
60705,-21103.1
36777,-21106
140542,21103
119637,18374
95401,-21102.8
186242,50425
92040,-50425
268552,9184.91
136274,18369.8
169915,18369
113316,21102.2
157636,50475.5
239854,-25237.8
136784,21102
226666,-9183
285019,9182.9
96739,-18365.5
127640,21102
213467,-9182.5
256244,-10551
245403,25237.5
103551,18358
14740,-18358
154865,18361.3
65630,-18361.3
146667,21101
26029,-21101
113010,50474
68,-21100.2
270832,10550
117420,18357
207927,10549.9
110418,50470.5
149671,21100
118441,18355
269712,-9177.25
3089,-21102
177660,50467.5
240569,-10551.2
89614,-21102
291040,25232.1
2966,-18382
85978,-50465.8
203812,-9177.86
144986,18355
163766,18354.5
